source,relation,target,original_label
NCT06269614,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06269614,TESTS,intervention:microbiome-intervention,Probiotic
NCT06315465,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06315465,TESTS,intervention:dietary-intervention,Modified Atkin's Diet with standard of care
NCT06315465,TESTS,intervention:standard-of-care,Standard of Care
NCT06348121,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06348121,TESTS,intervention:microbiome-intervention,Probiotic
NCT06382909,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06382909,TESTS,intervention:cognitive-assessment,Cognitive assessment
NCT06382909,TESTS,intervention:inflammatory-level,Inflammatory level
NCT06382909,TESTS,intervention:pedagogical-assessment,Pedagogical assessment
NCT06448767,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06448767,TESTS,intervention:microbiome-intervention,Multispecies probiotics
NCT06448767,TESTS,intervention:placebo-control,Placebo
NCT06491836,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06491836,TESTS,intervention:dietary-intervention,oligoantigenic diet
NCT06491836,TESTS,intervention:food-regimen-without-food-restrictions,Food regimen without food restrictions.
NCT06514573,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06514573,TESTS,intervention:placebo-control,Placebo (cornstarch)
NCT06514573,TESTS,intervention:sodium-butyrate,Sodium Butyrate
NCT06542146,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06542146,TESTS,intervention:dietary-intervention,Mediterranean diet
NCT06542146,TESTS,intervention:dietary-intervention,Usual diet
NCT06560359,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06560359,TESTS,intervention:f-v,F&V
NCT06560359,TESTS,intervention:no-f-v,No F&V
NCT06594536,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06594536,TESTS,intervention:placebo-control,Placebo
NCT06594536,TESTS,intervention:sulforaphane,Sulforaphane
NCT06623227,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06623227,TESTS,intervention:placebo-control,Placebo
NCT06623227,TESTS,intervention:vitamin-e-and-c,Vitamin E and C
NCT06650644,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06650644,TESTS,intervention:microbiome-intervention,Lactococcus lactis KD10 (health food)
NCT06650644,TESTS,intervention:placebo-control,Placebo of Lactococcus lactis KD10
NCT06677840,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06677840,TESTS,intervention:placebo-control,probiotic (GKB7/placebo)
NCT06698588,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06698588,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06698588,TESTS,intervention:omega-3-epa-dha,Omega 3 Fish Oil supplements
NCT06698588,TESTS,intervention:placebo-control,Placebo
NCT06756711,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06756711,TESTS,intervention:a-combination-of-apitherapy-and-plant-extracts,A combination of apitherapy and plant extracts
NCT06756711,TESTS,intervention:placebo-control,Placebo Combination
NCT06906068,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06906068,TESTS,intervention:placebo-control,Placebo
NCT06906068,TESTS,intervention:three-strains-of-lactobacillus-l-acidophilus-cl1285-l-casei-lbc80r-and-l-rhamnosus-clr2,"Three strains of Lactobacillus: L. acidophilus CL1285®, L. casei LBC80R® and L. rhamnosus CLR2®"
NCT06911905,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06911905,TESTS,intervention:dietary-intervention,Nutritional supplements
NCT06911905,TESTS,intervention:treatment-as-usual-tau,Treatment as usual (TAU)
NCT07047976,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07047976,TESTS,intervention:sulforaphane,Sulforaphane
NCT07060872,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07060872,TESTS,intervention:placebo-control,Placebo Syrup
NCT07060872,TESTS,intervention:risperidone,Risperidone
NCT07060872,TESTS,intervention:spirulina-syrup,Spirulina Syrup
NCT07061470,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07061470,TESTS,intervention:ferrous-sulfate,Ferrous Sulfate
NCT07061470,TESTS,intervention:placebo-control,Placebo
NCT07064538,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07064538,TESTS,intervention:neuralli-mp,Neuralli® MP
NCT07086157,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07086157,TESTS,intervention:dietary-intervention,Low-FODMAP Diet
NCT07086157,TESTS,intervention:microbiome-intervention,Probiotic
NCT07118267,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07118267,TESTS,intervention:lactiplantibacillus-plantarum,Lactiplantibacillus plantarum
NCT07165509,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07165509,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07165509,TESTS,intervention:dietary-intervention,Structured Dietary Program
NCT07165509,TESTS,intervention:dietary-intervention,T-2 Nutritional Supplement
NCT07189442,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07189442,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07189442,TESTS,intervention:l-theanine-and-paraxanthine,L-theanine and paraxanthine
NCT07189442,TESTS,intervention:placebo-control,Placebo
NCT07333339,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07333339,TESTS,intervention:exercise-intervention,Brain-Computer Interface-Based Attention Training
NCT07348562,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07348562,TESTS,intervention:omega-3-epa-dha,Omega-3
NCT07348562,TESTS,intervention:placebo-control,Placebo
NCT07363551,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07363551,TESTS,intervention:omega-3-epa-dha,Omega-3 fatty acids
NCT07363551,TESTS,intervention:placebo-control,Placebo
NCT07364331,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07364331,TESTS,intervention:omega-3-epa-dha,Omega-3
NCT07364331,TESTS,intervention:placebo-control,Placebo
NCT07365553,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07365553,TESTS,intervention:omega-3-epa-dha,Omega-3
NCT07365553,TESTS,intervention:placebo-control,Placebo
NCT07380412,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07380412,TESTS,intervention:placebo-control,Placebo
NCT07380412,TESTS,intervention:stasis-daytime-and-nighttime,Stasis Daytime and Nighttime
NCT07419659,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07419659,TESTS,intervention:microbiome-intervention,postbiotics
NCT07435740,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07435740,TESTS,intervention:exercise-intervention,Sleep Parent Training (SPT)
NCT07435740,TESTS,intervention:sleep-parent-education-spe,Sleep Parent Education (SPE)
NCT07450443,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07450443,TESTS,intervention:placebo-control,Control
NCT07450443,TESTS,intervention:postbiotix-comfort,PostbiotiX Comfort®
NCT07459699,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07459699,TESTS,intervention:microbiome-intervention,Probiotics
NCT07459699,TESTS,intervention:placebo-control,Placebo
NCT07521449,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07521449,TESTS,intervention:omega-3-epa-dha,DHA Omega-3
NCT07521449,TESTS,intervention:phosphatidylserine,Phosphatidylserine-Omega3
NCT07521449,TESTS,intervention:placebo-control,Placebo
NCT07546942,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07546942,TESTS,intervention:autologous-msc-isolation-concentration-and-cryopreservation-of-adult-mesenchymal-stem-cells,"Autologous MSC isolation, concentration, and cryopreservation of adult mesenchymal stem cells"
NCT07546942,TESTS,intervention:dietary-intervention,Ketogenic RESET Diet Protocol
NCT07546942,TESTS,intervention:dietary-intervention,Trial combines use of cSVF and MSCs (cryopres) with diet modification and FMT (fecal material Transplant in adult ASD patients
NCT07546942,TESTS,intervention:fecal-biomicrome-transplantation-fmt,Fecal Biomicrome Transplantation (FMT)
NCT07546942,TESTS,intervention:fmt-fecal-material-tranplantation,FMT (Fecal Material Tranplantation)
NCT07546942,TESTS,intervention:use-autologous-csvf-mscs-cryo-for-management-of-autoimmune-component-anti-inflammatory-and-immune-modulation,"Use autologous cSVF + MSCs (cryo) for management of autoimmune component, anti-inflammatory and immune modulation"
NCT07631455,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT07631455,TESTS,intervention:lactobacillus-and-omega-fatty-acids,Lactobacillus and Omega Fatty acids
NCT07631455,TESTS,intervention:supplement-paidinil-hd-epitech-group-spa-saccolongo-padova-italy-containing-12-umpea,"supplement (Paidinil® HD, Epitech Group SpA, Saccolongo, Padova, Italy) containing 12% umPEA"
NCT07665658,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07665658,TESTS,intervention:microbiome-intervention,Inulin
NCT07665658,TESTS,intervention:microbiome-intervention,Probiotic
NCT07665658,TESTS,intervention:omega-3-epa-dha,Omega-3 Fatty Acids
NCT07665658,TESTS,intervention:placebo-control,Placebo
NCT07665658,TESTS,intervention:thiamine,Thiamine
NCT07717359,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07717359,TESTS,intervention:microbiome-intervention,Synbiotic Cap Gut-Brain
NCT07717359,TESTS,intervention:placebo-control,Placebo
NCT07777328,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT07777328,TESTS,intervention:5-hydroxytryptophan-food-supplement-200mg,5-hydroxytryptophan (food supplement) 200mg
NCT07777328,TESTS,intervention:5-hydroxytryptophan-food-supplement-300mg,5-hydroxytryptophan (food supplement) 300mg
NCT07777328,TESTS,intervention:placebo-control,Placebo
